CustomerID,Lookalikes
C0001,"[('C0056', 0.9998), ('C0174', 0.9995), ('C0055', 0.9995)]"
C0002,"[('C0029', 0.9998), ('C0025', 0.9997), ('C0031', 0.9993)]"
C0003,"[('C0167', 1.0), ('C0042', 1.0), ('C0133', 1.0)]"
C0004,"[('C0075', 1.0), ('C0091', 0.9997), ('C0108', 0.9996)]"
C0005,"[('C0095', 1.0), ('C0197', 1.0), ('C0112', 0.9999)]"
C0006,"[('C0079', 0.9999), ('C0196', 0.9992), ('C0117', 0.991)]"
C0007,"[('C0193', 1.0), ('C0120', 0.9999), ('C0176', 0.9999)]"
C0008,"[('C0179', 0.9997), ('C0194', 0.9977), ('C0081', 0.9931)]"
C0009,"[('C0077', 0.9997), ('C0043', 0.9996), ('C0142', 0.9995)]"
C0010,"[('C0094', 0.9995), ('C0121', 0.9993), ('C0152', 0.9991)]"
C0011,"[('C0018', 0.9988), ('C0028', 0.9982), ('C0143', 0.9941)]"
C0012,"[('C0100', 1.0), ('C0054', 0.9999), ('C0087', 0.9999)]"
C0013,"[('C0105', 1.0), ('C0045', 1.0), ('C0041', 0.9999)]"
C0014,"[('C0015', 1.0), ('C0131', 1.0), ('C0151', 1.0)]"
C0015,"[('C0014', 1.0), ('C0131', 1.0), ('C0058', 1.0)]"
C0016,"[('C0158', 0.9979), ('C0185', 0.9972), ('C0066', 0.9955)]"
C0017,"[('C0162', 1.0), ('C0124', 1.0), ('C0067', 0.9997)]"
C0018,"[('C0011', 0.9988), ('C0149', 0.9978), ('C0182', 0.9977)]"
C0019,"[('C0111', 0.9966), ('C0172', 0.9958), ('C0072', 0.9925)]"
C0020,"[('C0078', 1.0), ('C0110', 0.9999), ('C0080', 0.9999)]"
